,TimeStamp,BallPosX,BallPosY,GazeAngleX,GazeAngleY,HeadPosX,HeadPosY,HeadPosZ,HeadAngleX,HeadAngleY,HeadAngleZ
0,1531846460.475,254.5,93.5,3.033249709547301,17.556207551503377,2.564832925796509,37.52606964111328,440.9845275878906,10.463213071802603,-1.7632812393220039,-2.6898888370376617
1,1531846460.541,249.5,78.5,3.0884222710565137,18.505487749112234,2.6648082733154297,37.64027404785156,439.2768249511719,10.755416253443014,-1.779575189473543,-2.882934105380726
2,1531846460.629,243.5,60.5,2.8953087008205842,18.079796201829673,2.71722674369812,37.36017990112305,439.2431945800781,9.70372590521935,-1.9717618816789497,-2.848147737901048
3,1531846460.725,234.5,33.5,3.669283125767384,18.07879045645723,2.6934354305267334,37.48454666137695,439.6976013183594,10.099154591320646,-2.007966580652657,-2.831319645602961
4,1531846460.819,225.5,6.5,3.088825679111249,18.386994210274985,2.879254102706909,37.41472625732422,439.9222106933594,10.12548070215189,-2.1598428830712026,-2.812789555512039
5,1531846460.935,215.5,16.5,3.5809999410312585,18.2104765059014,3.0954244136810303,37.48493576049805,439.3699951171875,10.239847099112756,-2.2745574062422667,-2.8630896307389784
6,1531846461.028,206.5,25.5,3.7193552434268855,18.01104351647153,3.212522268295288,37.560306549072266,440.2678527832031,10.708010470926238,-2.1719423499488633,-2.8412281158235544
7,1531846461.126,197.5,34.5,3.2883880152507325,18.222963799464488,3.2872018814086914,37.567970275878906,439.5474853515625,10.645200050247372,-2.3461593477499654,-2.812840141601442
8,1531846461.219,189.5,42.5,4.01751989965394,18.453537329398937,3.143659830093384,37.56123733520508,439.5031433105469,10.368331497328866,-2.214147797097612,-2.9069936605859192
9,1531846461.336,178.5,53.5,3.7978405216314934,17.88688092052647,3.0792434215545654,37.686458587646484,439.29632568359375,11.02614873506124,-2.0935450104313196,-2.9151903146165776
10,1531846461.429,169.5,62.5,3.9994348390837176,18.460777330042653,3.067342519760132,37.592350006103516,439.191650390625,10.371534002330584,-2.2686213314220325,-2.949223653727416
